execution_date,stale_signal_date,normal_count,stale_count,shared_count,shared_fraction_of_normal,jaccard
2023-03-17,2023-03-10,20,20,8,0.4,0.25
2023-03-24,2023-03-17,20,20,7,0.35,0.21212121212121213
2023-03-31,2023-03-24,20,20,11,0.55,0.3793103448275862
2023-04-10,2023-03-31,20,20,11,0.55,0.3793103448275862
2023-04-17,2023-04-10,20,20,12,0.6,0.42857142857142855
2023-04-24,2023-04-17,20,20,13,0.65,0.48148148148148145
2023-05-01,2023-04-24,20,20,12,0.6,0.42857142857142855
2023-05-08,2023-05-01,20,20,13,0.65,0.48148148148148145
2023-05-15,2023-05-08,20,20,11,0.55,0.3793103448275862
2023-05-22,2023-05-15,20,20,8,0.4,0.25
2023-05-30,2023-05-22,20,20,11,0.55,0.3793103448275862
2023-06-06,2023-05-30,20,20,12,0.6,0.42857142857142855
2023-06-13,2023-06-06,20,20,13,0.65,0.48148148148148145
2023-06-21,2023-06-13,20,20,9,0.45,0.2903225806451613
2023-06-28,2023-06-21,20,20,11,0.55,0.3793103448275862
2023-07-06,2023-06-28,20,20,11,0.55,0.3793103448275862
2023-07-13,2023-07-06,20,20,10,0.5,0.3333333333333333
2023-07-20,2023-07-13,20,20,11,0.55,0.3793103448275862
2023-07-27,2023-07-20,20,20,9,0.45,0.2903225806451613
2023-08-03,2023-07-27,20,20,8,0.4,0.25
2023-08-10,2023-08-03,20,20,11,0.55,0.3793103448275862
2023-08-17,2023-08-10,20,20,9,0.45,0.2903225806451613
2023-08-24,2023-08-17,20,20,15,0.75,0.6
2023-08-31,2023-08-24,20,20,12,0.6,0.42857142857142855
2023-09-08,2023-08-31,20,20,11,0.55,0.3793103448275862
2023-09-15,2023-09-08,20,20,10,0.5,0.3333333333333333
2023-09-22,2023-09-15,20,20,9,0.45,0.2903225806451613
2023-09-29,2023-09-22,20,20,11,0.55,0.3793103448275862
2023-10-06,2023-09-29,20,20,11,0.55,0.3793103448275862
2023-10-13,2023-10-06,20,20,12,0.6,0.42857142857142855
2023-10-20,2023-10-13,20,20,11,0.55,0.3793103448275862
2023-10-27,2023-10-20,20,20,10,0.5,0.3333333333333333
2023-11-03,2023-10-27,20,20,8,0.4,0.25
2023-11-10,2023-11-03,20,20,10,0.5,0.3333333333333333
2023-11-17,2023-11-10,20,20,9,0.45,0.2903225806451613
2023-11-27,2023-11-17,20,20,11,0.55,0.3793103448275862
2023-12-04,2023-11-27,20,20,11,0.55,0.3793103448275862
2023-12-11,2023-12-04,20,20,15,0.75,0.6
2023-12-18,2023-12-11,20,20,15,0.75,0.6
2023-12-26,2023-12-18,20,20,11,0.55,0.3793103448275862
2024-01-03,2023-12-26,20,20,12,0.6,0.42857142857142855
2024-01-10,2024-01-03,20,20,8,0.4,0.25
2024-01-18,2024-01-10,20,20,8,0.4,0.25
2024-01-25,2024-01-18,20,20,12,0.6,0.42857142857142855
2024-02-01,2024-01-25,20,20,12,0.6,0.42857142857142855
2024-02-08,2024-02-01,20,20,10,0.5,0.3333333333333333
2024-02-15,2024-02-08,20,20,13,0.65,0.48148148148148145
2024-02-23,2024-02-15,20,20,11,0.55,0.3793103448275862
2024-03-01,2024-02-23,20,20,11,0.55,0.3793103448275862
2024-03-08,2024-03-01,20,20,11,0.55,0.3793103448275862
2024-03-15,2024-03-08,20,20,13,0.65,0.48148148148148145
2024-03-22,2024-03-15,20,20,10,0.5,0.3333333333333333
2024-04-01,2024-03-22,20,20,10,0.5,0.3333333333333333
2024-04-08,2024-04-01,20,20,10,0.5,0.3333333333333333
2024-04-15,2024-04-08,20,20,15,0.75,0.6
2024-04-22,2024-04-15,20,20,12,0.6,0.42857142857142855
2024-04-29,2024-04-22,20,20,8,0.4,0.25
2024-05-06,2024-04-29,20,20,11,0.55,0.3793103448275862
2024-05-13,2024-05-06,20,20,11,0.55,0.3793103448275862
2024-05-20,2024-05-13,20,20,10,0.5,0.3333333333333333
2024-05-28,2024-05-20,20,20,9,0.45,0.2903225806451613
2024-06-04,2024-05-28,20,20,10,0.5,0.3333333333333333
2024-06-11,2024-06-04,20,20,13,0.65,0.48148148148148145
2024-06-18,2024-06-11,20,20,9,0.45,0.2903225806451613
2024-06-26,2024-06-18,20,20,12,0.6,0.42857142857142855
2024-07-03,2024-06-26,20,20,12,0.6,0.42857142857142855
2024-07-11,2024-07-03,20,20,10,0.5,0.3333333333333333
2024-07-18,2024-07-11,20,20,12,0.6,0.42857142857142855
2024-07-25,2024-07-18,20,20,16,0.8,0.6666666666666666
2024-08-01,2024-07-25,20,20,13,0.65,0.48148148148148145
2024-08-08,2024-08-01,20,20,11,0.55,0.3793103448275862
2024-08-15,2024-08-08,20,20,10,0.5,0.3333333333333333
2024-08-22,2024-08-15,20,20,8,0.4,0.25
2024-08-29,2024-08-22,20,20,7,0.35,0.21212121212121213
2024-09-06,2024-08-29,20,20,14,0.7,0.5384615384615384
2024-09-13,2024-09-06,20,20,12,0.6,0.42857142857142855
2024-09-20,2024-09-13,20,20,12,0.6,0.42857142857142855
2024-09-27,2024-09-20,20,20,10,0.5,0.3333333333333333
2024-10-04,2024-09-27,20,20,7,0.35,0.21212121212121213
2024-10-11,2024-10-04,20,20,10,0.5,0.3333333333333333
2024-10-18,2024-10-11,20,20,9,0.45,0.2903225806451613
2024-10-25,2024-10-18,20,20,12,0.6,0.42857142857142855
2024-11-01,2024-10-25,20,20,11,0.55,0.3793103448275862
2024-11-08,2024-11-01,20,20,12,0.6,0.42857142857142855
2024-11-15,2024-11-08,20,20,13,0.65,0.48148148148148145
2024-11-22,2024-11-15,20,20,13,0.65,0.48148148148148145
2024-12-02,2024-11-22,20,20,9,0.45,0.2903225806451613
2024-12-09,2024-12-02,20,20,11,0.55,0.3793103448275862
2024-12-16,2024-12-09,20,20,12,0.6,0.42857142857142855
2024-12-23,2024-12-16,20,20,9,0.45,0.2903225806451613
2024-12-31,2024-12-23,20,20,11,0.55,0.3793103448275862
2025-01-08,2024-12-31,20,20,8,0.4,0.25
2025-01-16,2025-01-08,20,20,15,0.75,0.6
2025-01-24,2025-01-16,20,20,14,0.7,0.5384615384615384
2025-01-31,2025-01-24,20,20,7,0.35,0.21212121212121213
2025-02-07,2025-01-31,20,20,15,0.75,0.6
2025-02-14,2025-02-07,20,20,7,0.35,0.21212121212121213
2025-02-24,2025-02-14,20,20,11,0.55,0.3793103448275862
2025-03-03,2025-02-24,20,20,11,0.55,0.3793103448275862
2025-03-10,2025-03-03,20,20,14,0.7,0.5384615384615384
2025-03-17,2025-03-10,20,20,11,0.55,0.3793103448275862
2025-03-24,2025-03-17,20,20,10,0.5,0.3333333333333333
2025-03-31,2025-03-24,20,20,9,0.45,0.2903225806451613
2025-04-07,2025-03-31,20,20,4,0.2,0.1111111111111111
2025-04-14,2025-04-07,20,20,7,0.35,0.21212121212121213
2025-04-22,2025-04-14,20,20,12,0.6,0.42857142857142855
2025-04-29,2025-04-22,20,20,11,0.55,0.3793103448275862
2025-05-06,2025-04-29,20,20,12,0.6,0.42857142857142855
2025-05-13,2025-05-06,20,20,12,0.6,0.42857142857142855
2025-05-20,2025-05-13,20,20,16,0.8,0.6666666666666666
2025-05-28,2025-05-20,20,20,11,0.55,0.3793103448275862
2025-06-04,2025-05-28,20,20,4,0.2,0.1111111111111111
2025-06-11,2025-06-04,20,20,9,0.45,0.2903225806451613
2025-06-18,2025-06-11,20,20,13,0.65,0.48148148148148145
2025-06-26,2025-06-18,20,20,12,0.6,0.42857142857142855
2025-07-03,2025-06-26,20,20,10,0.5,0.3333333333333333
2025-07-11,2025-07-03,20,20,10,0.5,0.3333333333333333
2025-07-18,2025-07-11,20,20,13,0.65,0.48148148148148145
2025-07-25,2025-07-18,20,20,14,0.7,0.5384615384615384
2025-08-01,2025-07-25,20,20,13,0.65,0.48148148148148145
2025-08-08,2025-08-01,20,20,14,0.7,0.5384615384615384
2025-08-15,2025-08-08,20,20,11,0.55,0.3793103448275862
2025-08-22,2025-08-15,20,20,11,0.55,0.3793103448275862
2025-08-29,2025-08-22,20,20,13,0.65,0.48148148148148145
2025-09-08,2025-08-29,20,20,15,0.75,0.6
2025-09-15,2025-09-08,20,20,8,0.4,0.25
2025-09-22,2025-09-15,20,20,11,0.55,0.3793103448275862
2025-09-29,2025-09-22,20,20,10,0.5,0.3333333333333333
2025-10-06,2025-09-29,20,20,13,0.65,0.48148148148148145
2025-10-13,2025-10-06,20,20,13,0.65,0.48148148148148145
2025-10-20,2025-10-13,20,20,11,0.55,0.3793103448275862
2025-10-27,2025-10-20,20,20,10,0.5,0.3333333333333333
2025-11-03,2025-10-27,20,20,11,0.55,0.3793103448275862
2025-11-10,2025-11-03,20,20,11,0.55,0.3793103448275862
2025-11-17,2025-11-10,20,20,7,0.35,0.21212121212121213
2025-11-24,2025-11-17,20,20,11,0.55,0.3793103448275862
2025-12-02,2025-11-24,20,20,10,0.5,0.3333333333333333
2025-12-09,2025-12-02,20,20,6,0.3,0.17647058823529413
2025-12-16,2025-12-09,20,20,10,0.5,0.3333333333333333
2025-12-23,2025-12-16,20,20,12,0.6,0.42857142857142855
2025-12-31,2025-12-23,20,20,9,0.45,0.2903225806451613
2026-01-08,2025-12-31,20,20,10,0.5,0.3333333333333333
2026-01-15,2026-01-08,20,20,12,0.6,0.42857142857142855
2026-01-23,2026-01-15,20,20,13,0.65,0.48148148148148145
2026-01-30,2026-01-23,20,20,10,0.5,0.3333333333333333
2026-02-06,2026-01-30,20,20,12,0.6,0.42857142857142855
2026-02-13,2026-02-06,20,20,14,0.7,0.5384615384615384
2026-02-23,2026-02-13,20,20,13,0.65,0.48148148148148145
2026-03-02,2026-02-23,20,20,13,0.65,0.48148148148148145
2026-03-09,2026-03-02,20,20,9,0.45,0.2903225806451613
2026-03-16,2026-03-09,20,20,11,0.55,0.3793103448275862
2026-03-23,2026-03-16,20,20,9,0.45,0.2903225806451613
2026-03-30,2026-03-23,20,20,10,0.5,0.3333333333333333
2026-04-07,2026-03-30,20,20,8,0.4,0.25
2026-04-14,2026-04-07,20,20,9,0.45,0.2903225806451613
2026-04-21,2026-04-14,20,20,12,0.6,0.42857142857142855
2026-04-28,2026-04-21,20,20,9,0.45,0.2903225806451613
2026-05-05,2026-04-28,20,20,12,0.6,0.42857142857142855
2026-05-12,2026-05-05,20,20,12,0.6,0.42857142857142855
2026-05-19,2026-05-12,20,20,12,0.6,0.42857142857142855
2026-05-27,2026-05-19,20,20,8,0.4,0.25
2026-06-03,2026-05-27,20,20,11,0.55,0.3793103448275862
2026-06-10,2026-06-03,20,20,14,0.7,0.5384615384615384
2026-06-17,2026-06-10,20,20,12,0.6,0.42857142857142855
2026-06-25,2026-06-17,20,20,10,0.5,0.3333333333333333
2026-07-02,2026-06-25,20,20,12,0.6,0.42857142857142855
2026-07-10,2026-07-02,20,20,11,0.55,0.3793103448275862
