label,leverage,top_n,reb,lock,full_cagr,full_sharpe,full_dd,min_sharpe,median_sharpe,worst_dd,median_cagr,liq_thr,safe_thr,margin_safe
mom_pull_ema|sat_def_70,2.0,15,21,off,0.3645,0.94,-0.4647,-0.354,0.905,-0.4621,0.3551,0.6667,0.5333,True
mom_pull_ema|sat_def_70,2.0,20,5,off,0.557,1.272,-0.4301,0.31,1.131,-0.4319,0.4661,0.6667,0.5333,True
mom_pull_ema|sat_def_70,2.0,20,10,off,0.5234,1.201,-0.4143,-0.204,1.038,-0.4511,0.4246,0.6667,0.5333,True
mom_pull_ema|sat_def_70,2.0,20,21,off,0.3573,0.953,-0.426,-0.252,0.958,-0.44,0.3804,0.6667,0.5333,True
mom_pull_ema|sat_def_70,2.0,30,5,off,0.4959,1.219,-0.4149,0.022,1.187,-0.4078,0.4467,0.6667,0.5333,True
mom_pull_ema|sat_def_70,2.0,30,10,off,0.4036,1.045,-0.4229,-0.222,1.144,-0.4303,0.4343,0.6667,0.5333,True
mom_pull_ema|sat_def_70,2.0,30,21,off,0.359,0.986,-0.4331,-0.129,0.941,-0.4435,0.3513,0.6667,0.5333,True
ema200_only|single,1.0,15,5,off,0.5398,1.515,-0.3275,0.313,1.512,-0.3336,0.4462,1.0,0.8,True
ema200_only|single,1.0,15,10,off,0.5368,1.51,-0.3023,0.323,1.609,-0.3222,0.4498,1.0,0.8,True
ema200_only|single,1.0,15,21,off,0.5011,1.42,-0.3376,0.039,1.57,-0.3677,0.4012,1.0,0.8,True
ema200_only|single,1.0,20,5,off,0.4427,1.403,-0.3227,0.302,1.176,-0.3096,0.3508,1.0,0.8,True
ema200_only|single,1.0,20,10,off,0.4353,1.379,-0.3002,0.435,1.308,-0.307,0.4102,1.0,0.8,True
ema200_only|single,1.0,20,21,off,0.4275,1.357,-0.3111,-0.105,1.459,-0.3686,0.3474,1.0,0.8,True
ema200_only|single,1.0,30,5,off,0.3416,1.279,-0.2703,0.056,1.107,-0.2802,0.2857,1.0,0.8,True
ema200_only|single,1.0,30,10,off,0.318,1.197,-0.2646,-0.0,1.293,-0.2783,0.2828,1.0,0.8,True
ema200_only|single,1.0,30,21,off,0.3256,1.212,-0.2893,-0.009,1.219,-0.2948,0.2936,1.0,0.8,True
ema200_only|single,1.25,15,5,off,0.6864,1.513,-0.3953,0.31,1.5,-0.4032,0.5647,0.9167,0.7333,True
ema200_only|single,1.25,15,10,off,0.6859,1.514,-0.3679,0.329,1.618,-0.3893,0.5691,0.9167,0.7333,True
ema200_only|single,1.25,15,21,off,0.6329,1.419,-0.4089,0.027,1.564,-0.4479,0.5173,0.9167,0.7333,True
ema200_only|single,1.25,20,5,off,0.5588,1.401,-0.3897,0.298,1.173,-0.3767,0.4346,0.9167,0.7333,True
ema200_only|single,1.25,20,10,off,0.5518,1.383,-0.3653,0.44,1.306,-0.3722,0.5223,0.9167,0.7333,True
ema200_only|single,1.25,20,21,off,0.5371,1.355,-0.3783,-0.112,1.454,-0.4477,0.4426,0.9167,0.7333,True
ema200_only|single,1.25,30,5,off,0.4285,1.278,-0.3288,0.055,1.104,-0.3401,0.3514,0.9167,0.7333,True
ema200_only|single,1.25,30,10,off,0.3994,1.202,-0.3231,0.01,1.3,-0.3385,0.3525,0.9167,0.7333,True
ema200_only|single,1.25,30,21,off,0.4064,1.211,-0.3521,-0.008,1.222,-0.3614,0.3676,0.9167,0.7333,True
ema200_only|single,1.5,15,5,off,0.8343,1.51,-0.4581,0.307,1.486,-0.4678,0.6832,0.8333,0.6667,True
ema200_only|single,1.5,15,10,off,0.8386,1.518,-0.4298,0.335,1.624,-0.4515,0.6884,0.8333,0.6667,True
ema200_only|single,1.5,15,21,off,0.7637,1.418,-0.4755,0.013,1.557,-0.5237,0.6401,0.8333,0.6667,True
ema200_only|single,1.5,20,5,off,0.6745,1.398,-0.4517,0.294,1.173,-0.4398,0.5141,0.8333,0.6667,True
ema200_only|single,1.5,20,10,off,0.6694,1.387,-0.4267,0.445,1.303,-0.4334,0.6312,0.8333,0.6667,True
ema200_only|single,1.5,20,21,off,0.6451,1.352,-0.4415,-0.12,1.448,-0.5219,0.5411,0.8333,0.6667,True
ema200_only|single,1.5,30,5,off,0.5146,1.277,-0.3839,0.053,1.1,-0.3964,0.4128,0.8333,0.6667,True
ema200_only|single,1.5,30,10,off,0.4804,1.207,-0.3786,0.02,1.307,-0.3954,0.4204,0.8333,0.6667,True
ema200_only|single,1.5,30,21,off,0.4853,1.209,-0.4114,-0.008,1.228,-0.4254,0.4406,0.8333,0.6667,True
ema200_only|single,1.75,15,5,off,0.9814,1.507,-0.516,0.302,1.471,-0.5275,0.8,0.75,0.6,True
ema200_only|single,1.75,15,10,off,0.9934,1.521,-0.488,0.342,1.631,-0.5093,0.8062,0.75,0.6,True
ema200_only|single,1.75,15,21,off,0.8914,1.414,-0.5376,-0.003,1.548,-0.595,0.7696,0.75,0.6,True
ema200_only|single,1.75,20,5,off,0.7884,1.396,-0.509,0.29,1.176,-0.4989,0.5878,0.75,0.6,True
ema200_only|single,1.75,20,10,off,0.7869,1.39,-0.4844,0.451,1.299,-0.4906,0.7318,0.75,0.6,True
ema200_only|single,1.75,20,21,off,0.7496,1.348,-0.5009,-0.129,1.44,-0.5913,0.6438,0.75,0.6,True
ema200_only|single,1.75,30,5,off,0.5989,1.276,-0.4358,0.051,1.096,-0.4508,0.4688,0.75,0.6,True
ema200_only|single,1.75,30,10,off,0.5603,1.212,-0.4313,0.031,1.31,-0.449,0.4856,0.75,0.6,True
ema200_only|single,1.75,30,21,off,0.5612,1.206,-0.4674,-0.009,1.236,-0.4867,0.5118,0.75,0.6,True
ema200_only|single,2.0,15,5,off,1.1255,1.505,-0.5693,0.297,1.462,-0.5826,0.9131,0.6667,0.5333,False
ema200_only|single,2.0,15,10,off,1.1484,1.524,-0.5426,0.349,1.637,-0.5629,0.9205,0.6667,0.5333,False
ema200_only|single,2.0,15,21,off,1.013,1.41,-0.5955,-0.021,1.536,-0.662,0.9061,0.6667,0.5333,False
ema200_only|single,2.0,20,5,off,0.8989,1.393,-0.5618,0.286,1.178,-0.554,0.6542,0.6667,0.5333,False
ema200_only|single,2.0,20,10,off,0.9031,1.393,-0.5385,0.457,1.294,-0.5441,0.8253,0.6667,0.5333,False
ema200_only|single,2.0,20,21,off,0.8487,1.342,-0.5567,-0.14,1.429,-0.6561,0.7539,0.6667,0.5333,False
ema200_only|single,2.0,30,5,off,0.6806,1.274,-0.4845,0.049,1.092,-0.502,0.5181,0.6667,0.5333,True
ema200_only|single,2.0,30,10,off,0.6385,1.216,-0.4811,0.042,1.314,-0.4994,0.5495,0.6667,0.5333,True
ema200_only|single,2.0,30,21,off,0.6331,1.203,-0.52,-0.01,1.245,-0.5454,0.5806,0.6667,0.5333,False
tsmom_only|sat_def_70,1.0,15,5,off,0.4691,1.595,-0.2721,0.331,1.44,-0.2633,0.3649,1.0,0.8,True
tsmom_only|sat_def_70,1.0,15,10,off,0.4651,1.592,-0.2636,0.435,1.465,-0.2706,0.3948,1.0,0.8,True
tsmom_only|sat_def_70,1.0,15,21,off,0.462,1.554,-0.2829,0.174,1.387,-0.2867,0.338,1.0,0.8,True
tsmom_only|sat_def_70,1.0,20,5,off,0.4003,1.513,-0.2497,0.261,1.31,-0.2476,0.3097,1.0,0.8,True
tsmom_only|sat_def_70,1.0,20,10,off,0.4092,1.537,-0.2428,0.33,1.387,-0.2523,0.3465,1.0,0.8,True
tsmom_only|sat_def_70,1.0,20,21,off,0.4042,1.499,-0.2576,0.108,1.163,-0.2721,0.2556,1.0,0.8,True
tsmom_only|sat_def_70,1.0,30,5,off,0.3395,1.457,-0.2274,0.188,1.305,-0.2255,0.2637,1.0,0.8,True
tsmom_only|sat_def_70,1.0,30,10,off,0.3155,1.372,-0.2268,0.176,1.325,-0.2334,0.2842,1.0,0.8,True
tsmom_only|sat_def_70,1.0,30,21,off,0.3455,1.447,-0.2416,0.138,1.252,-0.2418,0.27,1.0,0.8,True
tsmom_only|sat_def_70,1.25,15,5,off,0.5985,1.593,-0.3322,0.329,1.439,-0.3222,0.4612,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,15,10,off,0.5934,1.59,-0.3218,0.443,1.462,-0.3294,0.5061,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,15,21,off,0.5877,1.553,-0.344,0.176,1.388,-0.348,0.4256,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,20,5,off,0.5082,1.511,-0.3056,0.26,1.311,-0.3019,0.3902,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,20,10,off,0.5209,1.536,-0.297,0.34,1.389,-0.3077,0.4425,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,20,21,off,0.5117,1.497,-0.3143,0.114,1.166,-0.3313,0.3187,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,30,5,off,0.4297,1.455,-0.2786,0.188,1.308,-0.2758,0.3313,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,30,10,off,0.3984,1.371,-0.2779,0.186,1.326,-0.2852,0.3611,0.9167,0.7333,True
tsmom_only|sat_def_70,1.25,30,21,off,0.4366,1.446,-0.2952,0.14,1.254,-0.2952,0.3397,0.9167,0.7333,True
tsmom_only|sat_def_70,1.5,15,5,off,0.7312,1.59,-0.3892,0.328,1.437,-0.3791,0.5579,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,15,10,off,0.7255,1.587,-0.3771,0.451,1.46,-0.385,0.622,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,15,21,off,0.716,1.552,-0.4014,0.178,1.389,-0.4056,0.5134,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,20,5,off,0.6179,1.508,-0.359,0.259,1.311,-0.3534,0.4708,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,20,10,off,0.6354,1.535,-0.3486,0.349,1.392,-0.3602,0.5419,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,20,21,off,0.6208,1.495,-0.3681,0.117,1.169,-0.3873,0.3835,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,30,5,off,0.5212,1.453,-0.3276,0.188,1.311,-0.3237,0.4001,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,30,10,off,0.4823,1.371,-0.3269,0.196,1.327,-0.3346,0.4401,0.8333,0.6667,True
tsmom_only|sat_def_70,1.5,30,21,off,0.5287,1.444,-0.3464,0.142,1.255,-0.346,0.4097,0.8333,0.6667,True
tsmom_only|sat_def_70,1.75,15,5,off,0.8661,1.587,-0.4431,0.326,1.435,-0.4334,0.654,0.75,0.6,True
tsmom_only|sat_def_70,1.75,15,10,off,0.8603,1.585,-0.4294,0.459,1.461,-0.4373,0.7421,0.75,0.6,True
tsmom_only|sat_def_70,1.75,15,21,off,0.8461,1.551,-0.4554,0.18,1.39,-0.4595,0.6005,0.75,0.6,True
tsmom_only|sat_def_70,1.75,20,5,off,0.7287,1.506,-0.4097,0.258,1.312,-0.4042,0.5509,0.75,0.6,True
tsmom_only|sat_def_70,1.75,20,10,off,0.7521,1.534,-0.3978,0.359,1.395,-0.4099,0.6444,0.75,0.6,True
tsmom_only|sat_def_70,1.75,20,21,off,0.7306,1.492,-0.4192,0.12,1.172,-0.4402,0.4532,0.75,0.6,True
tsmom_only|sat_def_70,1.75,30,5,off,0.6134,1.451,-0.3745,0.188,1.313,-0.3694,0.4737,0.75,0.6,True
tsmom_only|sat_def_70,1.75,30,10,off,0.5666,1.37,-0.3737,0.207,1.328,-0.3815,0.521,0.75,0.6,True
tsmom_only|sat_def_70,1.75,30,21,off,0.6215,1.443,-0.3951,0.144,1.258,-0.3942,0.4796,0.75,0.6,True
tsmom_only|sat_def_70,2.0,15,5,off,1.0022,1.585,-0.4939,0.324,1.431,-0.485,0.7483,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,15,10,off,0.9971,1.583,-0.479,0.468,1.463,-0.4867,0.866,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,15,21,off,0.9768,1.549,-0.5061,0.182,1.391,-0.51,0.6863,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,20,5,off,0.8397,1.503,-0.4579,0.257,1.312,-0.4529,0.6298,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,20,10,off,0.8703,1.533,-0.4447,0.369,1.397,-0.457,0.7496,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,20,21,off,0.8403,1.49,-0.4675,0.123,1.174,-0.49,0.5181,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,30,5,off,0.7059,1.449,-0.4192,0.188,1.316,-0.4128,0.5489,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,30,10,off,0.6511,1.369,-0.4185,0.217,1.329,-0.4262,0.6034,0.6667,0.5333,True
tsmom_only|sat_def_70,2.0,30,21,off,0.7143,1.441,-0.4414,0.146,1.26,-0.44,0.5491,0.6667,0.5333,True
ema200_only|sat_accel_80_lock,1.0,15,5,on,0.5,1.528,-0.3006,0.272,1.485,-0.2991,0.4073,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,15,10,on,0.4955,1.511,-0.2798,0.21,1.592,-0.2939,0.4352,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,15,21,on,0.4615,1.42,-0.32,0.017,1.439,-0.3196,0.3984,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,20,5,on,0.4196,1.413,-0.3017,0.256,1.274,-0.2842,0.3609,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,20,10,on,0.4177,1.393,-0.2854,0.328,1.284,-0.2863,0.3899,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,20,21,on,0.4049,1.363,-0.2977,-0.034,1.44,-0.3178,0.358,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,30,5,on,0.3422,1.312,-0.2626,0.017,1.205,-0.2636,0.3066,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,30,10,on,0.3223,1.233,-0.2586,-0.06,1.331,-0.2683,0.313,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.0,30,21,on,0.3258,1.243,-0.2837,0.012,1.311,-0.2892,0.2852,1.0,0.8,True
ema200_only|sat_accel_80_lock,1.25,15,5,on,0.636,1.526,-0.3643,0.269,1.482,-0.3632,0.516,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,15,10,on,0.6326,1.515,-0.3412,0.216,1.589,-0.3563,0.5523,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,15,21,on,0.5833,1.42,-0.3878,0.012,1.436,-0.3916,0.5132,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,20,5,on,0.5299,1.41,-0.3655,0.254,1.271,-0.3467,0.4548,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,20,10,on,0.5295,1.395,-0.3477,0.333,1.278,-0.3482,0.4879,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,20,21,on,0.5097,1.362,-0.3621,-0.036,1.436,-0.3888,0.4565,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,30,5,on,0.4301,1.31,-0.32,0.015,1.203,-0.3204,0.3897,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,30,10,on,0.4053,1.237,-0.3159,-0.051,1.334,-0.3269,0.3928,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.25,30,21,on,0.4079,1.243,-0.3453,0.015,1.312,-0.3512,0.357,0.9167,0.7333,True
ema200_only|sat_accel_80_lock,1.5,15,5,on,0.774,1.524,-0.4237,0.265,1.479,-0.4231,0.6257,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,15,10,on,0.7732,1.518,-0.3993,0.223,1.584,-0.4148,0.6707,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,15,21,on,0.7052,1.419,-0.4512,0.006,1.433,-0.4605,0.6344,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,20,5,on,0.6403,1.408,-0.4251,0.252,1.269,-0.4059,0.5488,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,20,10,on,0.6425,1.398,-0.4066,0.338,1.273,-0.4065,0.5831,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,20,21,on,0.6138,1.36,-0.4226,-0.039,1.431,-0.4566,0.5586,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,30,5,on,0.5175,1.309,-0.3741,0.013,1.201,-0.375,0.4727,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,30,10,on,0.4882,1.24,-0.3703,-0.041,1.336,-0.3822,0.472,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.5,30,21,on,0.4888,1.242,-0.4033,0.018,1.314,-0.4093,0.4278,0.8333,0.6667,True
ema200_only|sat_accel_80_lock,1.75,15,5,on,0.9125,1.521,-0.479,0.261,1.476,-0.4793,0.735,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,15,10,on,0.9161,1.52,-0.4542,0.23,1.579,-0.4695,0.7892,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,15,21,on,0.8257,1.417,-0.5104,-0.001,1.432,-0.5263,0.7619,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,20,5,on,0.7496,1.405,-0.4805,0.25,1.266,-0.4617,0.6413,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,20,10,on,0.7557,1.4,-0.4622,0.343,1.268,-0.4614,0.6791,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,20,21,on,0.7162,1.358,-0.4796,-0.042,1.427,-0.5212,0.6639,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,30,5,on,0.6036,1.307,-0.4253,0.01,1.198,-0.4275,0.5498,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,30,10,on,0.5703,1.243,-0.422,-0.031,1.338,-0.4346,0.5496,0.75,0.6,True
ema200_only|sat_accel_80_lock,1.75,30,21,on,0.5676,1.24,-0.4581,0.02,1.316,-0.4639,0.4972,0.75,0.6,True
ema200_only|sat_accel_80_lock,2.0,15,5,on,1.0496,1.518,-0.5304,0.257,1.473,-0.5316,0.8429,0.6667,0.5333,True
ema200_only|sat_accel_80_lock,2.0,15,10,on,1.0599,1.523,-0.5059,0.238,1.572,-0.5207,0.9242,0.6667,0.5333,True
ema200_only|sat_accel_80_lock,2.0,15,21,on,0.943,1.414,-0.5655,-0.008,1.431,-0.5889,0.8959,0.6667,0.5333,False
ema200_only|sat_accel_80_lock,2.0,20,5,on,0.8565,1.402,-0.532,0.247,1.263,-0.5143,0.7241,0.6667,0.5333,True
ema200_only|sat_accel_80_lock,2.0,20,10,on,0.8681,1.401,-0.5144,0.349,1.268,-0.5131,0.7722,0.6667,0.5333,True
ema200_only|sat_accel_80_lock,2.0,20,21,on,0.8151,1.354,-0.5331,-0.046,1.427,-0.5825,0.7725,0.6667,0.5333,False
ema200_only|sat_accel_80_lock,2.0,30,5,on,0.6875,1.305,-0.4735,0.008,1.196,-0.4774,0.6194,0.6667,0.5333,True
ema200_only|sat_accel_80_lock,2.0,30,10,on,0.6509,1.246,-0.471,-0.021,1.339,-0.484,0.6264,0.6667,0.5333,True
ema200_only|sat_accel_80_lock,2.0,30,21,on,0.6436,1.238,-0.5095,0.023,1.318,-0.5149,0.574,0.6667,0.5333,True
ema200_only|sat_accel_80_nolock,1.0,15,5,off,0.5007,1.53,-0.3006,0.267,1.482,-0.2991,0.4053,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.0,15,10,off,0.4956,1.512,-0.2798,0.216,1.58,-0.2939,0.4351,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.0,15,21,off,0.46,1.418,-0.32,0.024,1.438,-0.3196,0.3976,1.0,0.8,True
ema200_only|sat_accel_80_nolock,1.0,20,5,off,0.4199,1.414,-0.3017,0.252,1.269,-0.2862,0.3606,1.0,0.8,True
