label,leverage,top_n,reb,lock,full_cagr,full_sharpe,full_dd,min_sharpe,median_sharpe,worst_dd,median_cagr,liq_thr,safe_thr,margin_safe
ema200_only|sat_accel_80_nolock,1.5,15,5,off,0.7752,1.525,-0.4237,0.261,1.477,-0.4231,0.6222,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,15,10,off,0.7734,1.518,-0.3993,0.229,1.572,-0.4148,0.6707,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,15,21,off,0.7026,1.417,-0.4512,0.012,1.433,-0.4605,0.633,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,20,5,off,0.6408,1.409,-0.4251,0.248,1.264,-0.4086,0.5481,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,20,10,off,0.6411,1.396,-0.4066,0.332,1.265,-0.4065,0.5778,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,20,21,off,0.6088,1.355,-0.4226,-0.039,1.435,-0.4566,0.5576,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,30,5,off,0.5168,1.308,-0.3747,0.012,1.201,-0.375,0.4738,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,30,10,off,0.4871,1.238,-0.3711,-0.041,1.338,-0.3822,0.4729,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.5,30,21,off,0.4877,1.24,-0.403,0.018,1.314,-0.4093,0.4309,0.8333,0.6667,True
ema200_only|sat_accel_80_nolock,1.75,15,5,off,0.9139,1.522,-0.479,0.257,1.474,-0.4793,0.7307,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,15,10,off,0.9164,1.521,-0.4542,0.237,1.567,-0.4695,0.7892,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,15,21,off,0.8225,1.415,-0.5104,0.006,1.432,-0.5263,0.7602,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,20,5,off,0.7503,1.406,-0.4805,0.246,1.262,-0.4647,0.6374,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,20,10,off,0.754,1.398,-0.4622,0.338,1.258,-0.4614,0.6669,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,20,21,off,0.71,1.352,-0.4796,-0.042,1.43,-0.5212,0.6627,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,30,5,off,0.6027,1.306,-0.4259,0.01,1.198,-0.4275,0.5496,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,30,10,off,0.5689,1.242,-0.4228,-0.031,1.339,-0.4346,0.5507,0.75,0.6,True
ema200_only|sat_accel_80_nolock,1.75,30,21,off,0.5663,1.239,-0.4577,0.02,1.316,-0.4639,0.5021,0.75,0.6,True
ema200_only|sat_accel_80_nolock,2.0,15,5,off,1.0514,1.52,-0.5304,0.253,1.47,-0.5316,0.8377,0.6667,0.5333,True
ema200_only|sat_accel_80_nolock,2.0,15,10,off,1.0603,1.523,-0.5059,0.245,1.56,-0.5207,0.9243,0.6667,0.5333,True
ema200_only|sat_accel_80_nolock,2.0,15,21,off,0.9391,1.412,-0.5655,-0.002,1.43,-0.5889,0.8938,0.6667,0.5333,False
ema200_only|sat_accel_80_nolock,2.0,20,5,off,0.8573,1.403,-0.532,0.243,1.258,-0.5175,0.7192,0.6667,0.5333,True
ema200_only|sat_accel_80_nolock,2.0,20,10,off,0.866,1.4,-0.5144,0.344,1.251,-0.5131,0.7546,0.6667,0.5333,True
ema200_only|sat_accel_80_nolock,2.0,20,21,off,0.8078,1.348,-0.5331,-0.046,1.428,-0.5825,0.771,0.6667,0.5333,False
ema200_only|sat_accel_80_nolock,2.0,30,5,off,0.6865,1.304,-0.4741,0.007,1.196,-0.4774,0.6192,0.6667,0.5333,True
ema200_only|sat_accel_80_nolock,2.0,30,10,off,0.6493,1.245,-0.4718,-0.021,1.34,-0.484,0.6291,0.6667,0.5333,True
ema200_only|sat_accel_80_nolock,2.0,30,21,off,0.642,1.236,-0.5091,0.023,1.318,-0.5149,0.5796,0.6667,0.5333,True
